relative_path,time_column_role,time_is_absolute,time_unit,valid_timestamps,missing_timestamps,first_timestamp_s,last_timestamp_s,duration_s,duration_kind,is_monotonic,non_monotonic_count,duplicate_timestamp_count,zero_interval_count,negative_interval_count,delta_mean_s,delta_median_s,delta_std_s,delta_min_s,delta_max_s,delta_p99_s,estimated_rate_hz,rate_kind,sampling_class,coefficient_of_variation,suspected_column_misalignment,evidence,note
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3c/S-S3c.csv,time_since_start_ms,False,s,37183,0,476.408,4194.607,3718.199,estimated,True,0,0,0,0,0.099999973105266,0.09999999999990905,0.0008548116913381289,0.08199999999987995,0.12100000000009459,0.10100000000056752,10.000000000009095,exact,stable,0.008548119212375214,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3c/V-S3c.csv,time_of_day_s,True,s,37183,0,69267.8,72986.0,3718.199999999997,estimated,True,0,0,0,0,0.09999999999999992,0.10000000000582077,7.334130326954851e-06,0.09900000000197906,0.10099999999511056,0.10000000000582077,9.999999999417923,exact,stable,7.334130326954857e-05,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S4/S-S4.csv,time_since_start_ms,False,s,94600,0,8.429,363.209,354.78000000000003,estimated,False,2,1799,0,2,0.09999998942884024,0.09999999999990905,0.000861198001403049,0.08199999999999363,0.11700000000001864,0.10199999999986176,10.000000000009095,exact,stable,0.008611980924416751,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S4/V-S4.csv,time_of_day_s,True,s,94600,0,62173.4,71633.3,9459.900000000001,estimated,True,0,0,0,0,0.10000000000000002,0.09999999999854481,4.598029185474273e-06,0.09900000000197906,0.10099999999511056,0.10000000000582077,10.00000000014552,exact,stable,4.598029185474272e-05,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa01/S-Vfa01.csv,time_since_start_ms,False,s,11486,0,2.607,1151.107,1148.5,estimated,True,0,0,0,0,0.1,0.10000000000002274,0.0008482613014428688,0.08600000000001273,0.11299999999999955,0.10200000000008913,9.999999999997726,exact,stable,0.008482613014428687,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa01/V-Vfa01.csv,time_of_day_s,True,s,11535,0,33622.0,34775.4,1153.4000000000015,estimated,True,0,0,0,0,0.10000000000000013,0.09999999999854481,2.9104776654407343e-12,0.09999999999854481,0.10000000000582077,0.10000000000582077,10.00000000014552,exact,stable,2.9104776654407307e-11,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa02/S-Vfa02.csv,time_since_start_ms,False,s,67523,0,0.038,6752.2390000000005,6752.201000000001,estimated,True,0,0,0,0,0.10000001480998787,0.09999999999990905,0.000859756537429444,0.05899999999996908,0.1410000000000764,0.10199999999986176,10.000000000009095,exact,stable,0.00859756410099624,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa02/V-Vfa02.csv,time_of_day_s,True,s,67755,0,35829.9,42605.3,6775.4000000000015,estimated,True,0,0,0,0,0.10000000000000002,0.09999999999854481,5.43309786606368e-06,0.09900000000197906,0.10100000000238651,0.10000000000582077,10.00000000014552,exact,stable,5.433097866063679e-05,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta01a/S-Vta1a.csv,time_since_start_ms,False,s,25676,0,0.02,2567.5190000000002,2567.4990000000003,estimated,True,0,0,0,0,0.09999996105160663,0.09999999999999432,0.0007051624896069295,0.08799999999996544,0.11099999999999,0.10199999999999998,10.000000000000568,exact,stable,0.007051627642564968,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta01a/V-Vta1a.csv,time_of_day_s,True,s,25676,0,38521.0,41088.5,2567.5,estimated,True,0,0,0,0,0.1,0.09999999999854481,2.9103830456786644e-12,0.09999999999854481,0.10000000000582077,0.10000000000582077,10.00000000014552,exact,stable,2.910383045678664e-11,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta01b/S-Vta1b.csv,time_since_start_ms,False,s,954,0,2582.12,2677.42,95.30000000000018,estimated,True,0,0,0,0,0.10000000000000019,0.09999999999990905,0.0006060208578683719,0.09400000000005093,0.10599999999976717,0.10100000000011278,10.000000000009095,exact,stable,0.006060208578683708,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta01b/V-Vta1b.csv,time_of_day_s,True,s,953,0,41089.0,41184.2,95.19999999999709,estimated,True,0,0,0,0,0.09999999999999694,0.09999999999854481,2.908087691110064e-12,0.09999999999854481,0.10000000000582077,0.10000000000582077,10.00000000014552,exact,stable,2.908087691110153e-11,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta02/S-Vta2.csv,time_since_start_ms,False,s,10991,0,2683.922,3782.92,1098.998,estimated,True,0,0,0,0,0.09999981801637853,0.09999999999990905,0.0006983667177389171,0.09000000000014552,0.10799999999971988,0.10199999999986176,10.000000000009095,exact,stable,0.006983679886542741,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta02/V-vta2.csv,time_of_day_s,True,s,10991,0,41190.3,42289.3,1099.0,estimated,True,0,0,0,0,0.1,0.09999999999854481,2.9103830456786644e-12,0.09999999999854481,0.10000000000582077,0.10000000000582077,10.00000000014552,exact,stable,2.910383045678664e-11,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta03/S-Vta3.csv,time_since_start_ms,False,s,645,0,0.012,64.412,64.4,estimated,True,0,0,0,0,0.1,0.10000000000000142,0.0005897678246195116,0.09600000000000009,0.10400000000000276,0.10100000000000467,9.999999999999858,exact,stable,0.0058976782461951155,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta03/V-vta3.csv,time_of_day_s,True,s,645,0,42374.0,42438.4,64.40000000000146,estimated,True,0,0,0,0,0.10000000000000225,0.09999999999854481,2.9120763865081666e-12,0.09999999999854481,0.10000000000582077,0.10000000000582077,10.00000000014552,exact,stable,2.912076386508101e-11,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta04/S-Vta4.csv,time_since_start_ms,False,s,1789,0,93.513,272.312,178.799,estimated,True,0,0,0,0,0.09999944071588367,0.09999999999999432,0.0005651114205424006,0.09600000000000364,0.10400000000001342,0.10200000000000387,10.000000000000568,exact,stable,0.00565114581138492,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta04/V-vta4.csv,time_of_day_s,True,s,1789,0,42445.2,42624.0,178.8000000000029,estimated,True,0,0,0,0,0.10000000000000163,0.09999999999854481,2.911603133007348e-12,0.09999999999854481,0.10000000000582077,0.10000000000582077,10.00000000014552,exact,stable,2.9116031330073e-11,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta05/S-Vta5.csv,time_since_start_ms,False,s,307,0,280.512,311.112,30.600000000000023,estimated,True,0,0,0,0,0.10000000000000007,0.10000000000002274,0.0004917622040805475,0.09799999999995634,0.10199999999997544,0.10100000000005309,9.999999999997726,exact,stable,0.004917622040805471,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta05/V-vta5.csv,time_of_day_s,True,s,307,0,42633.6,42664.2,30.599999999998545,estimated,True,0,0,0,0,0.09999999999999525,0.09999999999854481,2.9068103216492355e-12,0.09999999999854481,0.10000000000582077,0.10000000000582077,10.00000000014552,exact,stable,2.9068103216493736e-11,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta06/S-Vta6.csv,time_since_start_ms,False,s,1376,0,318.112,455.612,137.5,estimated,True,0,0,0,0,0.1,0.10000000000002274,0.0005981790549812061,0.09499999999997044,0.10599999999999454,0.101260000000035,9.999999999997726,exact,stable,0.005981790549812061,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta06/V-vta6.csv,time_of_day_s,True,s,1376,0,42669.7,42807.2,137.5,estimated,True,0,0,0,0,0.1,0.09999999999854481,2.9103830456786644e-12,0.09999999999854481,0.10000000000582077,0.10000000000582077,10.00000000014552,exact,stable,2.910383045678664e-11,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta07/S-Vta7.csv,time_since_start_ms,False,s,840,0,461.41200000000003,545.312,83.89999999999998,estimated,True,0,0,0,0,0.09999999999999998,0.10000000000002274,0.0006604798342438896,0.09100000000000819,0.10800000000000409,0.10099999999999909,9.999999999997726,exact,stable,0.006604798342438898,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta07/V-vta7.csv,time_of_day_s,True,s,840,0,42813.7,42897.6,83.90000000000146,estimated,True,0,0,0,0,0.10000000000000174,0.09999999999854481,2.911683065263002e-12,0.09999999999854481,0.10000000000582077,0.10000000000582077,10.00000000014552,exact,stable,2.911683065262951e-11,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta08/S-Vta8.csv,time_since_start_ms,False,s,3676,0,551.412,918.912,367.5,estimated,True,0,0,0,0,0.1,0.10000000000002274,0.0006606531503242498,0.09199999999998454,0.10799999999994725,0.10199999999997544,9.999999999997726,exact,stable,0.006606531503242498,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta08/V-vta8.csv,time_of_day_s,True,s,3676,0,42904.0,43271.5,367.5,estimated,True,0,0,0,0,0.1,0.09999999999854481,2.9103830456786644e-12,0.09999999999854481,0.10000000000582077,0.10000000000582077,10.00000000014552,exact,stable,2.910383045678664e-11,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta09/S-Vta9.csv,time_since_start_ms,False,s,156,0,929.513,945.011,15.497999999999934,estimated,True,0,0,0,0,0.09998709677419312,0.10000000000002274,0.0006323238938723379,0.09699999999997999,0.10199999999997544,0.10199999999997544,9.999999999997726,exact,stable,0.006324054945813188,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta09/V-vta9.csv,time_of_day_s,True,s,156,0,43283.1,43298.6,15.5,estimated,True,0,0,0,0,0.1,0.09999999999854481,2.9103830456786644e-12,0.09999999999854481,0.10000000000582077,0.10000000000582077,10.00000000014552,exact,stable,2.910383045678664e-11,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta10/S-Vta10.csv,time_since_start_ms,False,s,1502,0,956.5120000000001,1106.612,150.10000000000002,estimated,True,0,0,0,0,0.10000000000000002,0.10000000000002274,0.0006867936684094969,0.0909999999998945,0.10900000000003729,0.10199999999986176,9.999999999997726,exact,stable,0.006867936684094968,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta10/V-vta10.csv,time_of_day_s,True,s,1502,0,43309.9,43460.0,150.09999999999854,estimated,True,0,0,0,0,0.09999999999999903,0.09999999999854481,2.90965568229088e-12,0.09999999999854481,0.10000000000582077,0.10000000000582077,10.00000000014552,exact,stable,2.9096556822909082e-11,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta11/S-Vta11.csv,time_since_start_ms,False,s,510,0,1118.512,1169.412,50.90000000000009,estimated,True,0,0,0,0,0.10000000000000017,0.09999999999990905,0.0005779171326261398,0.09699999999997999,0.10200000000008913,0.10199999999986176,10.000000000009095,exact,stable,0.005779171326261388,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta11/V-vta11.csv,time_of_day_s,True,s,510,0,43471.9,43522.8,50.900000000001455,estimated,True,0,0,0,0,0.10000000000000286,0.09999999999854481,2.912525045083756e-12,0.09999999999854481,0.10000000000582077,0.10000000000582077,10.00000000014552,exact,stable,2.912525045083673e-11,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta12/S-Vta12.csv,time_since_start_ms,False,s,610,0,1181.512,1242.412,60.90000000000009,estimated,True,0,0,0,0,0.10000000000000014,0.09999999999990905,0.0006225114661160281,0.09699999999997999,0.10299999999983811,0.10200000000008913,10.000000000009095,exact,stable,0.006225114661160272,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta12/V-vta12.csv,time_of_day_s,True,s,610,0,43535.1,43596.0,60.900000000001455,estimated,True,0,0,0,0,0.10000000000000239,0.09999999999854481,2.912173621745256e-12,0.09999999999854481,0.10000000000582077,0.10000000000582077,10.00000000014552,exact,stable,2.912173621745186e-11,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta13/S-Vta13.csv,time_since_start_ms,False,s,404,0,1253.411,1293.712,40.30099999999993,estimated,True,0,0,0,0,0.100002481389578,0.09999999999990905,0.0006437281275863538,0.09600000000000364,0.10399999999981446,0.1019799999998668,10.000000000009095,exact,stable,0.006437121545800378,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta13/V-vta13.csv,time_of_day_s,True,s,404,0,43606.9,43647.2,40.299999999995634,estimated,True,0,0,0,0,0.09999999999998917,0.09999999999854481,2.9022269387439198e-12,0.09999999999854481,0.10000000000582077,0.10000000000582077,10.00000000014552,exact,stable,2.9022269387442343e-11,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta14/S-Vta14.csv,time_since_start_ms,False,s,2885,0,1298.612,1587.012,288.39999999999986,estimated,True,0,0,0,0,0.09999999999999995,0.09999999999990905,0.0006363906545419011,0.09600000000000364,0.10500000000001819,0.10200000000008913,10.000000000009095,exact,stable,0.006363906545419014,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta14/V-vta14.csv,time_of_day_s,True,s,2885,0,43651.8,43940.2,288.3999999999942,estimated,True,0,0,0,0,0.09999999999999798,0.09999999999854481,2.9088682295169006e-12,0.09999999999854481,0.10000000000582077,0.10000000000582077,10.00000000014552,exact,stable,2.9088682295169593e-11,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta15/S-Vta15.csv,time_since_start_ms,False,s,833,0,1597.912,1681.112,83.20000000000005,estimated,True,0,0,0,0,0.10000000000000006,0.09999999999990905,0.0008406728074789336,0.09000000000014552,0.10999999999989996,0.10200000000008913,10.000000000009095,exact,stable,0.008406728074789331,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta15/V-vta15.csv,time_of_day_s,True,s,833,0,43948.8,44032.0,83.19999999999709,estimated,True,0,0,0,0,0.09999999999999651,0.09999999999854481,2.907756215622477e-12,0.09999999999854481,0.10000000000582077,0.10000000000582077,10.00000000014552,exact,stable,2.9077562156225786e-11,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta16/S-Vta16.csv,time_since_start_ms,False,s,11335,0,1686.8120000000001,2820.212,1133.3999999999999,estimated,True,0,0,0,0,0.09999999999999999,0.09999999999990905,0.0006473739217187765,0.09000000000014552,0.10999999999989996,0.10199999999986176,10.000000000009095,exact,stable,0.006473739217187766,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta16/V-vta16.csv,time_of_day_s,True,s,11335,0,44038.9,45172.3,1133.4000000000015,estimated,True,0,0,0,0,0.10000000000000013,0.09999999999854481,1.3283832590594987e-05,0.09900000000197906,0.10100000000238651,0.10000000000582077,10.00000000014552,exact,stable,0.0001328383259059497,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta17/S-Vta17.csv,time_since_start_ms,False,s,4519,0,2831.511,3284.497,452.9859999999999,estimated,True,0,0,0,0,0.10026250553342184,0.09999999999990905,0.01762333172974468,0.09300000000030195,1.2840000000001055,0.10100000000011278,10.000000000009095,exact,mostly_stable,0.17577190631716322,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta17/V-vta17.csv,time_of_day_s,True,s,4519,0,45184.9,45636.7,451.79999999999563,estimated,True,0,0,0,0,0.09999999999999903,0.09999999999854481,2.9096580980090555e-12,0.09999999999854481,0.10000000000582077,0.10000000000582077,10.00000000014552,exact,stable,2.9096580980090834e-11,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta19/S-Vta19.csv,time_since_start_ms,False,s,292,0,3303.496,3332.597,29.101000000000113,estimated,True,0,0,0,0,0.10000343642611723,0.09999999999990905,0.0007058824108324434,0.09699999999975262,0.10400000000026921,0.1020000000003165,10.000000000009095,exact,stable,0.007058581545384702,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta19/V-vta19.csv,time_of_day_s,True,s,292,0,45656.9,45686.0,29.099999999998545,estimated,True,0,0,0,0,0.099999999999995,0.09999999999854481,2.906625830737637e-12,0.09999999999854481,0.10000000000582077,0.10000000000582077,10.00000000014552,exact,stable,2.9066258307377825e-11,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta20/S-Vta20.csv,time_since_start_ms,False,s,3223,0,0.014,322.214,322.2,estimated,True,0,0,0,0,0.10000000000000002,0.09999999999999432,0.0006178595840064563,0.09499999999999886,0.10500000000000398,0.10199999999997544,10.000000000000568,exact,stable,0.006178595840064562,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta20/V-vta20.csv,time_of_day_s,True,s,3223,0,45715.0,46037.2,322.1999999999971,estimated,True,0,0,0,0,0.0999999999999991,0.09999999999854481,2.909705363142567e-12,0.09999999999854481,0.10000000000582077,0.10000000000582077,10.00000000014552,exact,stable,2.909705363142593e-11,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta21/S-Vta21.csv,time_since_start_ms,False,s,2079,0,310.314,518.114,207.8,estimated,True,0,0,0,0,0.1,0.10000000000002274,0.0005762378398905403,0.09600000000000364,0.10400000000004184,0.10099999999999909,9.999999999997726,exact,stable,0.005762378398905403,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta21/V-vta21.csv,time_of_day_s,True,s,2079,0,46043.7,46251.5,207.8000000000029,estimated,True,0,0,0,0,0.10000000000000141,0.09999999999854481,2.9114329462989144e-12,0.09999999999854481,0.10000000000582077,0.10000000000582077,10.00000000014552,exact,stable,2.911432946298873e-11,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta22/S-Vta22.csv,time_since_start_ms,False,s,1564,0,519.114,675.415,156.30099999999993,estimated,True,0,0,0,0,0.10000063979526547,0.10000000000002274,0.000590498103608361,0.09600000000000364,0.10400000000004184,0.10199999999997544,9.999999999997726,exact,stable,0.0059049432565362265,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta22/V-vta22.csv,time_of_day_s,True,s,1564,0,46257.0,46413.3,156.3000000000029,estimated,True,0,0,0,0,0.10000000000000187,0.09999999999854481,2.9117786523645697e-12,0.09999999999854481,0.10000000000582077,0.10000000000582077,10.00000000014552,exact,stable,2.9117786523645155e-11,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta23/S-Vta23.csv,time_since_start_ms,False,s,1110,0,678.315,789.215,110.89999999999998,estimated,True,0,0,0,0,0.09999999999999998,0.10000000000002274,0.0006454390164007024,0.09500000000002728,0.10400000000004184,0.10199999999997544,9.999999999997726,exact,stable,0.006454390164007026,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta23/V-vta23.csv,time_of_day_s,True,s,1110,0,46419.1,46530.0,110.90000000000146,estimated,True,0,0,0,0,0.10000000000000131,0.09999999999854481,2.911366707757723e-12,0.09999999999854481,0.10000000000582077,0.10000000000582077,10.00000000014552,exact,stable,2.911366707757685e-11,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta24/S-Vta24.csv,time_since_start_ms,False,s,1171,0,794.214,911.215,117.00099999999998,estimated,True,0,0,0,0,0.10000085470085468,0.10000000000002274,0.000668586431579755,0.09600000000000364,0.10400000000004184,0.10199999999997544,9.999999999997726,exact,stable,0.006685807172146507,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta24/V-vta24.csv,time_of_day_s,True,s,1171,0,46535.8,46652.8,117.0,estimated,True,0,0,0,0,0.1,0.09999999999854481,2.9103830456786644e-12,0.09999999999854481,0.10000000000582077,0.10000000000582077,10.00000000014552,exact,stable,2.910383045678664e-11,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta25/S-Vta25.csv,time_since_start_ms,False,s,646,0,914.616,979.114,64.49800000000005,estimated,True,0,0,0,0,0.09999689922480627,0.10000000000002274,0.0005623783912630726,0.09699999999997999,0.1029999999999518,0.10099999999999909,9.999999999997726,exact,stable,0.005623958298934565,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta25/V-vta25.csv,time_of_day_s,True,s,646,0,46657.6,46722.1,64.5,estimated,True,0,0,0,0,0.1,0.09999999999854481,2.9103830456786644e-12,0.09999999999854481,0.10000000000582077,0.10000000000582077,10.00000000014552,exact,stable,2.910383045678664e-11,False,VERIFIED_FROM_FILE,
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta26/S-Vta26.csv,time_since_start_ms,False,s,1935,0,987.214,1180.614,193.39999999999998,estimated,True,0,0,0,0,0.09999999999999999,0.09999999999990905,0.0005815146218444815,0.09600000000000364,0.10300000000006548,0.10100000000011278,10.000000000009095,exact,stable,0.005815146218444815,False,VERIFIED_FROM_FILE,
