session_id,dataset_family,driver,driver_evidence,category,country,country_evidence,smartphone_files,vehicle_files,is_paired,pairing_evidence
VTA26,synchronized_categorized,E,VERIFIED_FROM_FILE,Vta,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta26/S-Vta26.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta26/V-vta26.csv,True,INFERRED
VTA27,synchronized_categorized,E,VERIFIED_FROM_FILE,Vta,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta27/S-Vta27.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta27/V-vta27.csv,True,INFERRED
VTA28,synchronized_categorized,E,VERIFIED_FROM_FILE,Vta,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta28/S-Vta28.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta28/V-vta28.csv,True,INFERRED
VTA29,synchronized_categorized,E,VERIFIED_FROM_FILE,Vta,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta29/S-Vta29.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta29/V-vta29.csv,True,INFERRED
VTA3,synchronized_categorized,E,VERIFIED_FROM_FILE,Vta,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta03/S-Vta3.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta03/V-vta3.csv,True,INFERRED
VTA30,synchronized_categorized,E,VERIFIED_FROM_FILE,Vta,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta30/S-Vta30.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta30/V-vta30.csv,True,INFERRED
VTA4,synchronized_categorized,E,VERIFIED_FROM_FILE,Vta,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta04/S-Vta4.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta04/V-vta4.csv,True,INFERRED
VTA5,synchronized_categorized,E,VERIFIED_FROM_FILE,Vta,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta05/S-Vta5.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta05/V-vta5.csv,True,INFERRED
VTA6,synchronized_categorized,E,VERIFIED_FROM_FILE,Vta,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta06/S-Vta6.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta06/V-vta6.csv,True,INFERRED
VTA7,synchronized_categorized,E,VERIFIED_FROM_FILE,Vta,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta07/S-Vta7.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta07/V-vta7.csv,True,INFERRED
VTA8,synchronized_categorized,E,VERIFIED_FROM_FILE,Vta,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta08/S-Vta8.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta08/V-vta8.csv,True,INFERRED
VTA9,synchronized_categorized,E,VERIFIED_FROM_FILE,Vta,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta09/S-Vta9.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta09/V-vta9.csv,True,INFERRED
VTB1,synchronized_categorized,E,VERIFIED_FROM_FILE,Vtb,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb01/S-Vtb1.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb01/V-vtb1.csv,True,INFERRED
VTB10,synchronized_categorized,E,VERIFIED_FROM_FILE,Vtb,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb10/S-Vtb10.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb10/V-vtb10.csv,True,INFERRED
VTB11,synchronized_categorized,E,VERIFIED_FROM_FILE,Vtb,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb11/S-Vtb11.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb11/V-vtb11.csv,True,INFERRED
VTB12,synchronized_categorized,E,VERIFIED_FROM_FILE,Vtb,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb12/S-Vtb12.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb12/V-vtb12.csv,True,INFERRED
VTB2,synchronized_categorized,E,VERIFIED_FROM_FILE,Vtb,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb02/S-Vtb2.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb02/V-vtb2.csv,True,INFERRED
VTB3,synchronized_categorized,E,VERIFIED_FROM_FILE,Vtb,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb03/S-Vtb3.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb03/V-vtb3.csv,True,INFERRED
VTB4,synchronized_categorized,E,VERIFIED_FROM_FILE,Vtb,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb04/S-Vtb4.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb04/V-vtb4.csv,True,INFERRED
VTB5,synchronized_categorized,E,VERIFIED_FROM_FILE,Vtb,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb05/S-Vtb5.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb05/V-vtb5.csv,True,INFERRED
VTB6,synchronized_categorized,E,VERIFIED_FROM_FILE,Vtb,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb06/S-Vtb6.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb06/V-vtb6.csv,True,INFERRED
VTB7,synchronized_categorized,E,VERIFIED_FROM_FILE,Vtb,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb07/S-Vtb7.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb07/V-vtb7.csv,True,INFERRED
VTB8,synchronized_categorized,E,VERIFIED_FROM_FILE,Vtb,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb08/S-Vtb8.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb08/V-vtb8.csv,True,INFERRED
VTB9,synchronized_categorized,E,VERIFIED_FROM_FILE,Vtb,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb09/S-Vtb9.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb09/V-vtb9.csv,True,INFERRED
VW1,synchronized_categorized,E,VERIFIED_FROM_FILE,Vw,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw01/S-Vw1.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw01/V-Vw1.csv,True,INFERRED
VW10,synchronized_categorized,E,VERIFIED_FROM_FILE,Vw,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw10/S-Vw10.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw10/V-Vw10.csv,True,INFERRED
VW11,synchronized_categorized,E,VERIFIED_FROM_FILE,Vw,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw11/S-Vw11.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw11/V-Vw11.csv,True,INFERRED
VW12,synchronized_categorized,E,VERIFIED_FROM_FILE,Vw,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw12/S-Vw12.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw12/V-Vw12.csv,True,INFERRED
VW13,synchronized_categorized,E,VERIFIED_FROM_FILE,Vw,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw13/S-Vw13.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw13/V-Vw13.csv,True,INFERRED
VW14A,synchronized_categorized,E,VERIFIED_FROM_FILE,Vw,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw14a/S-Vw14a.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw14a/V-Vw14a.csv,True,INFERRED
VW14B,synchronized_categorized,E,VERIFIED_FROM_FILE,Vw,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw14b/S-Vw14b.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw14b/V-Vw14b.csv,True,INFERRED
VW14C,synchronized_categorized,E,VERIFIED_FROM_FILE,Vw,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw14c/S-Vw14c.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw14c/V-Vw14c.csv,True,INFERRED
VW15,synchronized_categorized,E,VERIFIED_FROM_FILE,Vw,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw15/S-Vw15.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw15/V-Vw15.csv,True,INFERRED
VW16A,synchronized_categorized,E,VERIFIED_FROM_FILE,Vw,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw16a/S-Vw16a.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw16a/V-Vw16a.csv,True,INFERRED
VW16B,synchronized_categorized,E,VERIFIED_FROM_FILE,Vw,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw16b/S-Vw16b.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw16b/V-Vw16b.csv,True,INFERRED
VW17,synchronized_categorized,E,VERIFIED_FROM_FILE,Vw,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw17/S-Vw17.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw17/V-Vw17.csv,True,INFERRED
VW2,synchronized_categorized,E,VERIFIED_FROM_FILE,Vw,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw02/S-Vw2.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw02/V-Vw2.csv,True,INFERRED
VW3,synchronized_categorized,E,VERIFIED_FROM_FILE,Vw,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw03/S-Vw3.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw03/V-Vw3.csv,True,INFERRED
VW4,synchronized_categorized,E,VERIFIED_FROM_FILE,Vw,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw04/S-Vw4.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw04/V-Vw4.csv,True,INFERRED
VW5,synchronized_categorized,E,VERIFIED_FROM_FILE,Vw,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw05/S-Vw5.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw05/V-Vw5.csv,True,INFERRED
VW6,synchronized_categorized,E,VERIFIED_FROM_FILE,Vw,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw06/S-Vw6.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw06/V-Vw6.csv,True,INFERRED
VW7,synchronized_categorized,E,VERIFIED_FROM_FILE,Vw,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw07/S-Vw7.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw07/V-Vw7.csv,True,INFERRED
VW8,synchronized_categorized,E,VERIFIED_FROM_FILE,Vw,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw08/S-Vw8.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw08/V-Vw8.csv,True,INFERRED
VW9,synchronized_categorized,E,VERIFIED_FROM_FILE,Vw,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw09/S-Vw9.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw09/V-Vw9.csv,True,INFERRED
Y1,synchronized_categorized,D,VERIFIED_FROM_FILE,Y,,UNVERIFIED,Synchronised V abd S datasets/Categorised IOVNB Dataset/Y (Driver D)/Y1/S-Y1.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Y (Driver D)/Y1/V-Y1.csv,True,INFERRED
M,synchronized_uncategorized,,UNVERIFIED,,,UNVERIFIED,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-M.csv,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-M.csv,True,INFERRED
S1,synchronized_uncategorized,,UNVERIFIED,,,UNVERIFIED,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-S1.csv,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S1.csv,True,INFERRED
S2,synchronized_uncategorized,,UNVERIFIED,,,UNVERIFIED,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-S2.csv,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S2.csv,True,INFERRED
S3A,synchronized_uncategorized,,UNVERIFIED,,,UNVERIFIED,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-S3a.csv,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S3a.csv,True,INFERRED
S3B,synchronized_uncategorized,,UNVERIFIED,,,UNVERIFIED,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-S3b.csv,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S3b.csv,True,INFERRED
S3C,synchronized_uncategorized,,UNVERIFIED,,,UNVERIFIED,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-S3c.csv,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S3c.csv,True,INFERRED
S4,synchronized_uncategorized,,UNVERIFIED,,,UNVERIFIED,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-S4.csv,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-S4.csv,True,INFERRED
VFA01,synchronized_uncategorized,,UNVERIFIED,,,UNVERIFIED,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vfa01.csv,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-Vfa01.csv,True,INFERRED
VFA02,synchronized_uncategorized,,UNVERIFIED,,,UNVERIFIED,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vfa02.csv,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-Vfa02.csv,True,INFERRED
VTA10,synchronized_uncategorized,,UNVERIFIED,,,UNVERIFIED,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta10.csv,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta10.csv,True,INFERRED
VTA11,synchronized_uncategorized,,UNVERIFIED,,,UNVERIFIED,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta11.csv,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta11.csv,True,INFERRED
VTA12,synchronized_uncategorized,,UNVERIFIED,,,UNVERIFIED,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta12.csv,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta12.csv,True,INFERRED
VTA13,synchronized_uncategorized,,UNVERIFIED,,,UNVERIFIED,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta13.csv,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta13.csv,True,INFERRED
VTA14,synchronized_uncategorized,,UNVERIFIED,,,UNVERIFIED,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta14.csv,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta14.csv,True,INFERRED
VTA15,synchronized_uncategorized,,UNVERIFIED,,,UNVERIFIED,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta15.csv,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta15.csv,True,INFERRED
VTA16,synchronized_uncategorized,,UNVERIFIED,,,UNVERIFIED,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta16.csv,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta16.csv,True,INFERRED
VTA17,synchronized_uncategorized,,UNVERIFIED,,,UNVERIFIED,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta17.csv,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta17.csv,True,INFERRED
VTA19,synchronized_uncategorized,,UNVERIFIED,,,UNVERIFIED,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta19.csv,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta19.csv,True,INFERRED
VTA1A,synchronized_uncategorized,,UNVERIFIED,,,UNVERIFIED,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta1a.csv,Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-Vta1a.csv,True,INFERRED
