pair_id,session_id,dataset_family,smartphone_file,vehicle_file,smartphone_segment,vehicle_segment,smartphone_start_s,smartphone_end_s,vehicle_start_s,vehicle_end_s,overlap_start_s,overlap_end_s,overlap_duration_s,clock_offset_s,estimated_offset_s,offset_method,offset_confidence,correlation,peak_margin,drift_detected,drift_estimate_s,drift_ppm,status,note
synchronized_categorized:VTA11,VTA11,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta11/S-Vta11.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta11/V-vta11.csv,82e456eb6e00:000,12cf51936ea2:000,43472.393,43523.293,43471.9,43522.8,43471.9,43522.8,50.900000000001455,0.49299999999493593,0.49299999999493593,clock_difference,none,,,False,0.0,0.0,UNRESOLVED,aligned overlap 50.9s is below the 60s minimum; alignment left UNRESOLVED
synchronized_categorized:VTA12,VTA12,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta12/S-Vta12.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta12/V-vta12.csv,9809c567bbe8:000,c2ba3053903b:000,43535.393,43596.293,43535.1,43596.0,43535.1,43587.9,52.80000000000291,0.2929999999978463,8.392999999998388,speed_cross_correlation,none,0.9321974768067641,0.4238401262190189,False,0.0,0.0,UNRESOLVED,aligned overlap 52.8s is below the 60s minimum; alignment left UNRESOLVED
synchronized_categorized:VTA13,VTA13,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta13/S-Vta13.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta13/V-vta13.csv,04b0ee07c4e4:000,2654dd964866:000,43607.292,43647.593,43606.9,43647.2,43606.9,43647.2,40.299999999995634,0.39250000000174623,0.39250000000174623,clock_difference,none,,,False,0.0010000000038417056,24.81389587696809,UNRESOLVED,aligned overlap 40.3s is below the 60s minimum; alignment left UNRESOLVED
synchronized_categorized:VTA14,VTA14,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta14/S-Vta14.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta14/V-vta14.csv,413a1f581614:000,47fb8c1e6a90:000,43652.493,43940.893,43651.8,43940.2,43651.8,43935.7,283.8999999999942,0.6929999999993015,5.192999999999792,speed_cross_correlation,high,0.9466690416116322,0.36557751468366384,False,0.0,0.0,CONFIRMED_BY_SIGNAL,speed correlation 0.947 at offset 5.19s (peak margin 0.366)
synchronized_categorized:VTA15,VTA15,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta15/S-Vta15.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta15/V-vta15.csv,7d5d51193b78:000,7ce40f70af39:000,43951.793,44034.993,43948.8,44032.0,43948.8,44031.9,83.09999999999854,2.992999999998574,3.0929999999990017,speed_cross_correlation,high,0.9019314265957113,0.9081515476479278,False,7.275957614183426e-12,8.745141363201539e-08,CONFIRMED_BY_SIGNAL,speed correlation 0.902 at offset 3.09s (peak margin 0.908)
synchronized_categorized:VTA16,VTA16,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta16/S-Vta16.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta16/V-vta16.csv,62fb3e3d9457:000,c0d60dc9d7a3:000,44040.693,45174.093,44038.9,45172.3,44038.9,45169.100000000006,1130.2000000000044,1.7929999999978463,4.992999999998318,speed_cross_correlation,high,0.9701732159671583,0.21473432804524395,False,0.0,0.0,CONFIRMED_BY_SIGNAL,speed correlation 0.970 at offset 4.99s (peak margin 0.215)
synchronized_categorized:VTA17,VTA17,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta17/S-Vta17.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta17/V-vta17.csv,cfabd101e8e0:000,d635527b069d:000,45185.392,45638.378,45184.9,45636.7,45184.9,45633.793,448.8929999999964,1.0849999999991269,4.584999999999603,speed_cross_correlation,high,0.8899525751924311,0.8573019831357784,True,1.1860000000015134,2625.055334222056,CONFIRMED_BY_SIGNAL,speed correlation 0.890 at offset 4.58s (peak margin 0.857)
synchronized_categorized:VTA19,VTA19,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta19/S-Vta19.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta19/V-vta19.csv,052bc3dacd0c:000,129785b49387:000,45657.377,45686.478,45656.9,45686.0,45656.9,45686.0,29.099999999998545,0.4775000000008731,0.4775000000008731,clock_difference,none,,,False,0.0010000000038417056,34.364261300403975,UNRESOLVED,aligned overlap 29.1s is below the 60s minimum; alignment left UNRESOLVED
synchronized_categorized:VTA1A,VTA1A,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta01a/S-Vta1a.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta01a/V-Vta1a.csv,25e382fbbc34:000,4b09e133584b:000,38507.363,41074.862,38521.0,41088.5,38521.0,41074.099500000004,2553.099500000004,-13.637500000000728,0.7624999999999034,speed_cross_correlation,high,0.9968764605681146,0.35415059182145836,False,-0.000999999996565748,-0.3894839324501453,CONFIRMED_BY_SIGNAL,speed correlation 0.997 at offset 0.76s (peak margin 0.354)
synchronized_categorized:VTA1B,VTA1B,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta01b/S-Vta1b.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta01b/V-Vta1b.csv,b98958cc351e:000,83c6ad5afbbc:000,41089.463,41184.763,41089.0,41184.2,41089.0,41184.049999999996,95.04999999999563,0.5130000000026484,0.7130000000030776,speed_cross_correlation,high,0.9949647440749348,0.6116100318796976,False,0.09999999999854481,1050.4201680519734,CONFIRMED_BY_SIGNAL,speed correlation 0.995 at offset 0.71s (peak margin 0.612)
synchronized_categorized:VTA2,VTA2,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta02/S-Vta2.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta02/V-vta2.csv,7bd4640e4db3:000,5fb5a864e5a6:000,41191.265,42290.263,41190.3,42289.3,41190.501000000004,42289.3,1098.798999999999,0.9639999999963038,0.7639999999967273,speed_cross_correlation,high,0.9963368829373879,0.4208742549663397,False,-0.0020000000004074536,-1.8198362151114227,CONFIRMED_BY_SIGNAL,speed correlation 0.996 at offset 0.76s (peak margin 0.421)
synchronized_categorized:VTA20,VTA20,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta20/S-Vta20.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta20/V-vta20.csv,4e255b689bb1:000,4c49f750ae05:000,45741.722,46063.922,45715.0,46037.2,45736.5,46037.2,300.6999999999971,26.72200000000157,5.222000000001579,speed_cross_correlation,high,0.9682816085710769,0.409825394547093,False,0.0,0.0,CONFIRMED_BY_SIGNAL,speed correlation 0.968 at offset 5.22s (peak margin 0.410)
synchronized_categorized:VTA21,VTA21,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta21/S-Vta21.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta21/V-vta21.csv,fa378298fb40:000,9fef5d99355c:000,46052.022,46259.822,46043.7,46251.5,46049.0,46251.5,202.5,8.322000000000116,3.0220000000004674,speed_cross_correlation,high,0.8981872290944543,0.7613075433495379,False,0.0,0.0,CONFIRMED_BY_SIGNAL,speed correlation 0.898 at offset 3.02s (peak margin 0.761)
synchronized_categorized:VTA22,VTA22,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta22/S-Vta22.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta22/V-vta22.csv,e07de2f95c2b:000,b9f3b5408799:000,46260.822,46417.123,46257.0,46413.3,46257.2995,46413.3,156.00050000000192,3.8224999999983993,3.5224999999988214,speed_cross_correlation,high,0.8319029534751131,0.5829368092981648,False,0.000999999996565748,6.397952633178051,CONFIRMED_BY_SIGNAL,speed correlation 0.832 at offset 3.52s (peak margin 0.583)
synchronized_categorized:VTA23,VTA23,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta23/S-Vta23.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta23/V-vta23.csv,b898b14918ea:000,67c2a792a369:000,46420.023,46530.923,46419.1,46530.0,46419.1,46529.2,110.09999999999854,0.9230000000025029,1.7230000000029406,speed_cross_correlation,high,0.8925976406967375,1.0604643876542619,False,0.0,0.0,CONFIRMED_BY_SIGNAL,speed correlation 0.893 at offset 1.72s (peak margin 1.060)
synchronized_categorized:VTA24,VTA24,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta24/S-Vta24.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta24/V-vta24.csv,02929be6c896:000,719438458b2e:000,46535.922,46652.923,46535.8,46652.8,46535.8,46649.60050000001,113.80050000000483,0.1224999999976717,3.3224999999981435,speed_cross_correlation,high,0.9405163287840426,0.8024369077147149,False,0.0010000000038417056,8.547008579843638,CONFIRMED_BY_SIGNAL,speed correlation 0.941 at offset 3.32s (peak margin 0.802)
synchronized_categorized:VTA25,VTA25,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta25/S-Vta25.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta25/V-vta25.csv,ee2c003b48da:000,08c4cb3b39f2:000,46656.324,46720.822,46657.6,46722.1,46657.6,46714.699,57.09900000000198,-1.2769999999982247,6.123000000002307,speed_cross_correlation,none,0.9126912499702963,1.0470060044260854,False,-0.0020000000004074536,-31.007751944301607,UNRESOLVED,aligned overlap 57.1s is below the 60s minimum; alignment left UNRESOLVED
synchronized_categorized:VTA26,VTA26,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta26/S-Vta26.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta26/V-vta26.csv,ef9cf5419e1f:000,57e364d817aa:000,46728.922,46922.322,46727.6,46921.0,46727.6,46920.2,192.59999999999854,1.3220000000001164,2.122000000000554,speed_cross_correlation,high,0.9628757543420498,0.3765104508894562,False,0.0,0.0,CONFIRMED_BY_SIGNAL,speed correlation 0.963 at offset 2.12s (peak margin 0.377)
synchronized_categorized:VTA27,VTA27,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta27/S-Vta27.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta27/V-vta27.csv,159116d1f4d5:000,7f3af1c36008:000,46929.622,47183.522,46956.8,47210.7,46956.8,47180.7,223.89999999999418,-27.177999999999884,2.822000000000969,speed_cross_correlation,high,0.952032260152515,0.3458432924610443,False,0.0,0.0,CONFIRMED_BY_SIGNAL,speed correlation 0.952 at offset 2.82s (peak margin 0.346)
synchronized_categorized:VTA28,VTA28,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta28/S-Vta28.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta28/V-vta28.csv,ade9b3d779ac:000,a8752e753ff9:000,47214.922,47635.822,47216.3,47637.2,47216.3,47631.7,415.3999999999942,-1.3780000000006112,4.121999999999893,speed_cross_correlation,high,0.9079591737394516,0.6814533304691327,False,7.275957614183426e-12,1.728666575002026e-08,CONFIRMED_BY_SIGNAL,speed correlation 0.908 at offset 4.12s (peak margin 0.681)
synchronized_categorized:VTA29,VTA29,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta29/S-Vta29.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta29/V-vta29.csv,fdb0c5fe8db0:000,eb87d258739b:000,48440.808,50810.586,48446.2,50816.6,48446.2,50807.389,2361.1890000000058,-5.702999999997701,3.197000000002852,speed_cross_correlation,high,0.9617913540374561,0.30690390437395487,False,-0.6219999999957508,-262.4029699610827,CONFIRMED_BY_SIGNAL,speed correlation 0.962 at offset 3.20s (peak margin 0.307)
synchronized_categorized:VTA3,VTA3,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta03/S-Vta3.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta03/V-vta3.csv,3b82987cb99d:000,e2c6b46b5147:000,42353.893,42418.293,42374.0,42438.4,42396.0,42438.4,42.400000000001455,-20.10700000000361,-42.107000000003495,speed_cross_correlation,none,0.9403736350214962,0.6876016125068556,False,0.0,0.0,UNRESOLVED,aligned overlap 42.4s is below the 60s minimum; alignment left UNRESOLVED
synchronized_categorized:VTA30,VTA30,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta30/S-Vta30.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta30/V-vta30.csv,28161336944b:000,5c8b13f1e83f:000,50823.886,52537.386,50821.6,52535.1,50821.6,52533.799999999996,1712.199999999997,2.286000000000058,3.586000000000503,speed_cross_correlation,high,0.9713687805804353,0.23911797515576982,False,0.0,0.0,CONFIRMED_BY_SIGNAL,speed correlation 0.971 at offset 3.59s (peak margin 0.239)
synchronized_categorized:VTA4,VTA4,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta04/S-Vta4.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta04/V-vta4.csv,f37db4374cc0:000,0c626160be0f:000,42447.394,42626.193,42445.2,42624.0,42445.2,42619.0995,173.89949999999953,2.1935000000012224,7.093500000001718,speed_cross_correlation,high,0.8596281371153333,0.8218262072188541,False,-0.0010000000038417056,-5.59284118479692,CONFIRMED_BY_SIGNAL,speed correlation 0.860 at offset 7.09s (peak margin 0.822)
synchronized_categorized:VTA5,VTA5,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta05/S-Vta5.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta05/V-vta5.csv,7aff2d8777e0:000,31c052676e02:000,42634.393,42664.993,42633.6,42664.2,42633.6,42664.2,30.599999999998545,0.7930000000014843,0.7930000000014843,clock_difference,none,,,False,7.275957614183426e-12,2.377763926203847e-07,UNRESOLVED,aligned overlap 30.6s is below the 60s minimum; alignment left UNRESOLVED
synchronized_categorized:VTA6,VTA6,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta06/S-Vta6.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta06/V-vta6.csv,5d09dd027359:000,ec82e633ecdc:000,42671.993,42809.493,42669.7,42807.2,42669.7,42805.5,135.8000000000029,2.2930000000051223,3.9930000000055728,speed_cross_correlation,high,0.9552576882539479,0.5113321669544371,False,0.0,0.0,CONFIRMED_BY_SIGNAL,speed correlation 0.955 at offset 3.99s (peak margin 0.511)
synchronized_categorized:VTA7,VTA7,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta07/S-Vta7.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta07/V-vta7.csv,ac7c45d5dfb9:000,87c54b7fb23d:000,42815.293,42899.193,42813.7,42897.6,42813.7,42895.2,81.5,1.5930000000007567,3.993000000001217,speed_cross_correlation,high,0.9589343503665749,1.1788944856302468,False,0.0,0.0,CONFIRMED_BY_SIGNAL,speed correlation 0.959 at offset 3.99s (peak margin 1.179)
synchronized_categorized:VTA8,VTA8,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta08/S-Vta8.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta08/V-vta8.csv,9879c75d65da:000,3b38a7a248b5:000,42905.293,43272.793,42904.0,43271.5,42904.0,43267.7,363.6999999999971,1.2929999999978463,5.092999999998327,speed_cross_correlation,high,0.9770322168179151,0.18588658422508397,False,0.0,0.0,CONFIRMED_BY_SIGNAL,speed correlation 0.977 at offset 5.09s (peak margin 0.186)
synchronized_categorized:VTA9,VTA9,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta09/S-Vta9.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta09/V-vta9.csv,2671b8ec2301:000,1b01d98ee2b5:000,43283.394,43298.892,43283.1,43298.6,43283.100999999995,43298.599,15.498000000006869,0.2930000000014843,0.2930000000014843,clock_difference,none,,,False,-0.0020000000004074536,-129.03225809080345,UNRESOLVED,aligned overlap 15.5s is below the 60s minimum; alignment left UNRESOLVED
synchronized_categorized:VTB1,VTB1,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb01/S-Vtb1.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb01/V-vtb1.csv,4132d57199e8:000,9c7487b61d37:000,53857.146,57102.945,53857.8,57103.6,53857.8,57100.0995,3242.2994999999937,-0.654500000000553,2.845499999999923,speed_cross_correlation,medium,0.7595265460459376,0.19338266239900992,False,-0.000999999996565748,-0.30809045429963317,CONFIRMED_BY_SIGNAL,speed correlation 0.760 at offset 2.85s (peak margin 0.193)
synchronized_categorized:VTB10,VTB10,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb10/S-Vtb10.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb10/V-vtb10.csv,9e3fc03408f1:000,bfc8ef5f13fa:000,66157.375,66176.875,66156.9,66176.3,66156.9,66176.3,19.40000000000873,0.5250000000014552,0.5250000000014552,clock_difference,none,,,False,0.09999999999126885,5154.639174805353,UNRESOLVED,aligned overlap 19.4s is below the 60s minimum; alignment left UNRESOLVED
synchronized_categorized:VTB11,VTB11,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb11/S-Vtb11.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb11/V-vtb11.csv,87c795b6c20e:000,95c98373c894:000,66186.376,66222.376,66188.0,66224.0,66188.0,66224.0,36.0,-1.6239999999961583,-1.6239999999961583,clock_difference,none,,,False,0.0,0.0,UNRESOLVED,aligned overlap 36.0s is below the 60s minimum; alignment left UNRESOLVED
synchronized_categorized:VTB12,VTB12,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb12/S-Vtb12.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb12/V-vtb12.csv,538064be488d:000,6d755d7c49d3:000,66231.475,66276.076,66233.1,66277.7,66233.1,66277.7,44.59999999999127,-1.6244999999980791,-1.6244999999980791,clock_difference,none,,,False,0.0010000000038417056,22.421524749818417,UNRESOLVED,aligned overlap 44.6s is below the 60s minimum; alignment left UNRESOLVED
synchronized_categorized:VTB2,VTB2,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb02/S-Vtb2.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb02/V-vtb2.csv,06ad03911f2d:000,87da4e0c77e9:000,57980.476,58551.576,57981.4,58552.5,57981.4,58548.4,567.0,-0.9239999999990687,3.176000000001416,speed_cross_correlation,high,0.9637881246772307,0.2380686174549591,False,0.0,0.0,CONFIRMED_BY_SIGNAL,speed correlation 0.964 at offset 3.18s (peak margin 0.238)
synchronized_categorized:VTB3,VTB3,synchronized_categorized,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb03/S-Vtb3.csv,Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb03/V-vtb3.csv,7a8bd69ead89:000,91667e76e8e0:000,58561.676,59385.576,58563.1,59387.0,58563.1,59383.1,820.0,-1.4239999999990687,2.476000000001413,speed_cross_correlation,high,0.9675646973360585,0.23728211632284146,False,0.0,0.0,CONFIRMED_BY_SIGNAL,speed correlation 0.968 at offset 2.48s (peak margin 0.237)
