relative_path,column,semantic_role,observed_min,observed_max,expected_low,expected_high,interpretation,evidence,detail
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta30/V-vta30.csv,Steering Angle,steering_angle,0.0,800.8,-720.0,720.0,possible_valid_extreme,VERIFIED_FROM_FILE,"observed [0, 800.8] outside screen [-720, 720]"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb01/S-Vtb1.csv,GPS ACCURACY,gnss_accuracy,3.0,2400.0,0.0,1000.0,possible_sensor_artifact,VERIFIED_FROM_FILE,"observed [3, 2400] outside screen [0, 1000]"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb03/S-Vtb3.csv,GPS SPEED,gnss_speed,-0.18,9.74,0.0,250.0,possible_valid_extreme,VERIFIED_FROM_FILE,"observed [-0.18, 9.74] outside screen [0, 250]"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb03/S-Vtb3.csv,GPS ACCURACY,gnss_accuracy,2.0,2400.0,0.0,1000.0,possible_sensor_artifact,VERIFIED_FROM_FILE,"observed [2, 2400] outside screen [0, 1000]"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb06/V-vtb6.csv,Steering Angle,steering_angle,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 498 rows (possible stuck channel)
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb08/S-Vtb8.csv,GPS ACCURACY,gnss_accuracy,4.0,4.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 4.0 across 668 rows (possible stuck channel)
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb08/V-vtb8.csv,Steering Angle,steering_angle,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 668 rows (possible stuck channel)
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb09/S-Vtb9.csv,GPS ACCURACY,gnss_accuracy,4.0,4.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 4.0 across 452 rows (possible stuck channel)
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb09/V-vtb9.csv,Steering Angle,steering_angle,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 452 rows (possible stuck channel)
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb10/S-Vtb10.csv,GPS ACCURACY,gnss_accuracy,4.0,4.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 4.0 across 196 rows (possible stuck channel)
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb11/V-vtb11.csv,Steering Angle,steering_angle,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 361 rows (possible stuck channel)
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw01/S-Vw1.csv,GPS LATITUDE,gnss_latitude,52.554695,52.554695,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 52.554695 across 20476 rows (possible stuck channel)
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw01/S-Vw1.csv,GPS LONGITUDE,gnss_longitude,-1.463064,-1.463064,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value -1.463064 across 20476 rows (possible stuck channel)
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw01/S-Vw1.csv,GPS ALTITUDE,gnss_altitude,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 20476 rows (possible stuck channel)
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw01/S-Vw1.csv,GPS SPEED,gnss_speed,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 20476 rows (possible stuck channel)
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw01/S-Vw1.csv,GPS ACCURACY,gnss_accuracy,6.0,6.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 6.0 across 20476 rows (possible stuck channel)
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw01/V-Vw1.csv,Heading,heading,329.705,329.705,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 329.705 across 20475 rows (possible stuck channel)
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw01/V-Vw1.csv,Indicated Vehicle Speed,vehicle_speed,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 20475 rows (possible stuck channel)
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw13/S-Vw13.csv,GPS ACCURACY,gnss_accuracy,4.0,4.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 4.0 across 284 rows (possible stuck channel)
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw15/S-Vw15.csv,GPS LATITUDE,gnss_latitude,52.596283,52.596283,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 52.596283 across 1380 rows (possible stuck channel)
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw15/S-Vw15.csv,GPS LONGITUDE,gnss_longitude,-1.608857,-1.608857,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value -1.608857 across 1380 rows (possible stuck channel)
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw15/S-Vw15.csv,GPS ALTITUDE,gnss_altitude,147.72,147.72,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 147.72 across 1380 rows (possible stuck channel)
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw15/S-Vw15.csv,GPS SPEED,gnss_speed,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 1380 rows (possible stuck channel)
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw15/S-Vw15.csv,GPS ACCURACY,gnss_accuracy,6.0,6.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 6.0 across 1380 rows (possible stuck channel)
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw15/V-Vw15.csv,Indicated Vehicle Speed,vehicle_speed,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 1391 rows (possible stuck channel)
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw17/S-Vw17.csv,GPS ACCURACY,gnss_accuracy,6.0,6.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 6.0 across 329 rows (possible stuck channel)
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vw (Driver E)/Vw17/V-Vw17.csv,Steering Angle,steering_angle,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 329 rows (possible stuck channel)
Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-M.csv,ACCELEROMETER Z,accel_z,-19.5769,59.4461,-50.0,50.0,possible_sensor_artifact,VERIFIED_FROM_FILE,"observed [-19.58, 59.45] outside screen [-50, 50]"
Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-S4.csv,ACCELEROMETER Y,accel_y,-9.2256,52.3986,-50.0,50.0,possible_sensor_artifact,VERIFIED_FROM_FILE,"observed [-9.226, 52.4] outside screen [-50, 50]"
Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta22.csv,GPS ACCURACY,gnss_accuracy,4.0,4.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 4.0 across 1564 rows (possible stuck channel)
Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta25.csv,GPS ACCURACY,gnss_accuracy,3.0,3.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 3.0 across 646 rows (possible stuck channel)
Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vta5.csv,GPS ACCURACY,gnss_accuracy,4.0,4.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 4.0 across 307 rows (possible stuck channel)
Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vtb1.csv,GPS ACCURACY,gnss_accuracy,3.0,2400.0,0.0,1000.0,possible_sensor_artifact,VERIFIED_FROM_FILE,"observed [3, 2400] outside screen [0, 1000]"
Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vtb10.csv,GPS ACCURACY,gnss_accuracy,4.0,4.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 4.0 across 196 rows (possible stuck channel)
Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vtb3.csv,GPS SPEED,gnss_speed,-0.18,9.74,0.0,250.0,possible_valid_extreme,VERIFIED_FROM_FILE,"observed [-0.18, 9.74] outside screen [0, 250]"
Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vtb3.csv,GPS ACCURACY,gnss_accuracy,2.0,2400.0,0.0,1000.0,possible_sensor_artifact,VERIFIED_FROM_FILE,"observed [2, 2400] outside screen [0, 1000]"
Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vtb8.csv,GPS ACCURACY,gnss_accuracy,4.0,4.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 4.0 across 668 rows (possible stuck channel)
Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vtb9.csv,GPS ACCURACY,gnss_accuracy,4.0,4.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 4.0 across 452 rows (possible stuck channel)
Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vw1.csv,GPS LATITUDE,gnss_latitude,52.554695,52.554695,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 52.554695 across 20476 rows (possible stuck channel)
Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vw1.csv,GPS LONGITUDE,gnss_longitude,-1.463064,-1.463064,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value -1.463064 across 20476 rows (possible stuck channel)
Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vw1.csv,GPS ALTITUDE,gnss_altitude,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 20476 rows (possible stuck channel)
Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vw1.csv,GPS SPEED,gnss_speed,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 20476 rows (possible stuck channel)
Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vw1.csv,GPS ACCURACY,gnss_accuracy,6.0,6.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 6.0 across 20476 rows (possible stuck channel)
Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vw13.csv,GPS ACCURACY,gnss_accuracy,4.0,4.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 4.0 across 284 rows (possible stuck channel)
Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vw15.csv,GPS LATITUDE,gnss_latitude,52.59628299999999,52.59628299999999,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 52.59628299999999 across 1380 rows (possible stuck channel)
Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vw15.csv,GPS LONGITUDE,gnss_longitude,-1.608857,-1.608857,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value -1.608857 across 1380 rows (possible stuck channel)
Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vw15.csv,GPS ALTITUDE,gnss_altitude,147.72,147.72,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 147.72 across 1380 rows (possible stuck channel)
Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vw15.csv,GPS SPEED,gnss_speed,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 1380 rows (possible stuck channel)
Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vw15.csv,GPS ACCURACY,gnss_accuracy,6.0,6.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 6.0 across 1380 rows (possible stuck channel)
Synchronised V abd S datasets/Uncategorised IOVNB Dataset/S-Dataset/S-Vw17.csv,GPS ACCURACY,gnss_accuracy,6.0,6.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 6.0 across 329 rows (possible stuck channel)
Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta12.csv,Steering Angle,steering_angle,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 610 rows (possible stuck channel)
Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta13.csv,Steering Angle,steering_angle,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 404 rows (possible stuck channel)
Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta14.csv,Steering Angle,steering_angle,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 2885 rows (possible stuck channel)
Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta15.csv,Steering Angle,steering_angle,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 833 rows (possible stuck channel)
Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-Vta1b.csv,Steering Angle,steering_angle,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 953 rows (possible stuck channel)
Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta29.csv,Steering Angle,steering_angle,0.0,800.8,-720.0,720.0,possible_valid_extreme,VERIFIED_FROM_FILE,"observed [0, 800.8] outside screen [-720, 720]"
Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta30.csv,Steering Angle,steering_angle,0.0,800.8,-720.0,720.0,possible_valid_extreme,VERIFIED_FROM_FILE,"observed [0, 800.8] outside screen [-720, 720]"
Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta6.csv,Steering Angle,steering_angle,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 1376 rows (possible stuck channel)
Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vta9.csv,Steering Angle,steering_angle,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 156 rows (possible stuck channel)
Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vtb11.csv,Steering Angle,steering_angle,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 361 rows (possible stuck channel)
Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vtb6.csv,Steering Angle,steering_angle,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 498 rows (possible stuck channel)
Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vtb8.csv,Steering Angle,steering_angle,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 668 rows (possible stuck channel)
Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-vtb9.csv,Steering Angle,steering_angle,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 452 rows (possible stuck channel)
Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-Vw1.csv,Heading,heading,329.705,329.705,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 329.705 across 20475 rows (possible stuck channel)
Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-Vw1.csv,Indicated Vehicle Speed,vehicle_speed,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 20475 rows (possible stuck channel)
Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-Vw15.csv,Indicated Vehicle Speed,vehicle_speed,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 1391 rows (possible stuck channel)
Synchronised V abd S datasets/Uncategorised IOVNB Dataset/V-Dataset/V-Vw17.csv,Steering Angle,steering_angle,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 329 rows (possible stuck channel)
Unsynchronised V and S Dataset/Categorised IOVNB (V) Dataset/V Dataset/Vta (Driver E)/Vta01b/V-Vta1b.csv,Steering Angle,steering_angle,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 956 rows (possible stuck channel)
Unsynchronised V and S Dataset/Categorised IOVNB (V) Dataset/V Dataset/Vta (Driver E)/Vta06/V-Vta6.csv,Steering Angle,steering_angle,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 1393 rows (possible stuck channel)
Unsynchronised V and S Dataset/Categorised IOVNB (V) Dataset/V Dataset/Vta (Driver E)/Vta09/V-Vta9.csv,Steering Angle,steering_angle,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 226 rows (possible stuck channel)
Unsynchronised V and S Dataset/Categorised IOVNB (V) Dataset/V Dataset/Vta (Driver E)/Vta12/V-Vta12.csv,Steering Angle,steering_angle,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 690 rows (possible stuck channel)
Unsynchronised V and S Dataset/Categorised IOVNB (V) Dataset/V Dataset/Vta (Driver E)/Vta13/V-Vta13.csv,Steering Angle,steering_angle,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 473 rows (possible stuck channel)
Unsynchronised V and S Dataset/Categorised IOVNB (V) Dataset/V Dataset/Vta (Driver E)/Vta14/V-Vta14.csv,Steering Angle,steering_angle,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 2893 rows (possible stuck channel)
Unsynchronised V and S Dataset/Categorised IOVNB (V) Dataset/V Dataset/Vta (Driver E)/Vta15/V-Vta15.csv,Steering Angle,steering_angle,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 869 rows (possible stuck channel)
Unsynchronised V and S Dataset/Categorised IOVNB (V) Dataset/V Dataset/Vta (Driver E)/Vta29/V-Vta29.csv,Steering Angle,steering_angle,0.0,800.8,-720.0,720.0,possible_valid_extreme,VERIFIED_FROM_FILE,"observed [0, 800.8] outside screen [-720, 720]"
Unsynchronised V and S Dataset/Categorised IOVNB (V) Dataset/V Dataset/Vta (Driver E)/Vta30/V-Vta30.csv,Steering Angle,steering_angle,0.0,800.8,-720.0,720.0,possible_valid_extreme,VERIFIED_FROM_FILE,"observed [0, 800.8] outside screen [-720, 720]"
Unsynchronised V and S Dataset/Categorised IOVNB (V) Dataset/V Dataset/Vtb (Driver E)/Vtb06/V-Vtb6.csv,Steering Angle,steering_angle,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 508 rows (possible stuck channel)
Unsynchronised V and S Dataset/Categorised IOVNB (V) Dataset/V Dataset/Vtb (Driver E)/Vtb08/V-Vtb8.csv,Steering Angle,steering_angle,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 699 rows (possible stuck channel)
Unsynchronised V and S Dataset/Categorised IOVNB (V) Dataset/V Dataset/Vtb (Driver E)/Vtb09/V-Vtb9.csv,Steering Angle,steering_angle,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 457 rows (possible stuck channel)
Unsynchronised V and S Dataset/Categorised IOVNB (V) Dataset/V Dataset/Vtb (Driver E)/Vtb11/V-Vtb11.csv,Steering Angle,steering_angle,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 433 rows (possible stuck channel)
Unsynchronised V and S Dataset/Categorised IOVNB (V) Dataset/V Dataset/Vw (Driver E)/Vw01/V-Vw1.csv,Heading,heading,329.705,329.705,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 329.705 across 20475 rows (possible stuck channel)
Unsynchronised V and S Dataset/Categorised IOVNB (V) Dataset/V Dataset/Vw (Driver E)/Vw01/V-Vw1.csv,Indicated Vehicle Speed,vehicle_speed,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 20475 rows (possible stuck channel)
Unsynchronised V and S Dataset/Categorised IOVNB (V) Dataset/V Dataset/Vw (Driver E)/Vw15/V-Vw15.csv,Indicated Vehicle Speed,vehicle_speed,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 1391 rows (possible stuck channel)
Unsynchronised V and S Dataset/Categorised IOVNB (V) Dataset/V Dataset/Vw (Driver E)/Vw17/V-Vw17.csv,Steering Angle,steering_angle,0.0,0.0,nan,nan,possible_sensor_artifact,VERIFIED_FROM_FILE,constant value 0.0 across 329 rows (possible stuck channel)
Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-A1.csv,GPS ACCURACY,gnss_accuracy,4.0,1799.999,0.0,1000.0,possible_sensor_artifact,VERIFIED_FROM_FILE,"observed [4, 1800] outside screen [0, 1000]"
Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-A13.csv,GPS ACCURACY,gnss_accuracy,4.0,3638.6943,0.0,1000.0,possible_sensor_artifact,VERIFIED_FROM_FILE,"observed [4, 3639] outside screen [0, 1000]"
Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-A2.csv,GPS ACCURACY,gnss_accuracy,6.0,1299.999,0.0,1000.0,possible_sensor_artifact,VERIFIED_FROM_FILE,"observed [6, 1300] outside screen [0, 1000]"
Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-A3.csv,GPS ACCURACY,gnss_accuracy,7.0,1100.0,0.0,1000.0,possible_sensor_artifact,VERIFIED_FROM_FILE,"observed [7, 1100] outside screen [0, 1000]"
Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-A4.csv,GPS ACCURACY,gnss_accuracy,3.0,1399.999,0.0,1000.0,possible_sensor_artifact,VERIFIED_FROM_FILE,"observed [3, 1400] outside screen [0, 1000]"
Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-A6.csv,GPS ACCURACY,gnss_accuracy,3.0,3911.0,0.0,1000.0,possible_sensor_artifact,VERIFIED_FROM_FILE,"observed [3, 3911] outside screen [0, 1000]"
Unsynchronised V and S Dataset/Uncategorised IOVNB (V and S) Dataset/S-Dataset/S-M.csv,ACCELEROMETER Z,accel_z,-19.5769,59.4461,-50.0,50.0,possible_sensor_artifact,VERIFIED_FROM_FILE,"observed [-19.58, 59.45] outside screen [-50, 50]"
