relative_path,session_id,stream,schema_valid,row_count,timestamp_quality,missingness_score,sampling_quality,gnss_availability,sampling_class,measured_rate_hz,range_finding_count,parse_error,notes,quality_score,score_formula
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3c/S-S3c.csv,S3C,smartphone,True,37183,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S3c/V-S3c.csv,S3C,vehicle,True,37183,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S4/S-S4.csv,S4,smartphone,True,94600,0.981,1.0,1.0,1.0,stable,10.0,1,,[],0.9952,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/S (Driver A)/S4/V-S4.csv,S4,vehicle,True,94600,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa01/S-Vfa01.csv,VFA01,smartphone,True,11486,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa01/V-Vfa01.csv,VFA01,vehicle,True,11535,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa02/S-Vfa02.csv,VFA02,smartphone,True,67523,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vf (Driver E)/V-Vfa02/V-Vfa02.csv,VFA02,vehicle,True,67755,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta01a/S-Vta1a.csv,VTA1A,smartphone,True,25676,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta01a/V-Vta1a.csv,VTA1A,vehicle,True,25676,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta01b/S-Vta1b.csv,VTA1B,smartphone,True,954,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta01b/V-Vta1b.csv,VTA1B,vehicle,True,953,1.0,1.0,1.0,1.0,stable,10.0,1,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta02/S-Vta2.csv,VTA2,smartphone,True,10991,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta02/V-vta2.csv,VTA2,vehicle,True,10991,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta03/S-Vta3.csv,VTA3,smartphone,True,645,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta03/V-vta3.csv,VTA3,vehicle,True,645,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta04/S-Vta4.csv,VTA4,smartphone,True,1789,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta04/V-vta4.csv,VTA4,vehicle,True,1789,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta05/S-Vta5.csv,VTA5,smartphone,True,307,1.0,1.0,1.0,1.0,stable,10.0,1,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta05/V-vta5.csv,VTA5,vehicle,True,307,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta06/S-Vta6.csv,VTA6,smartphone,True,1376,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta06/V-vta6.csv,VTA6,vehicle,True,1376,1.0,1.0,1.0,1.0,stable,10.0,1,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta07/S-Vta7.csv,VTA7,smartphone,True,840,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta07/V-vta7.csv,VTA7,vehicle,True,840,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta08/S-Vta8.csv,VTA8,smartphone,True,3676,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta08/V-vta8.csv,VTA8,vehicle,True,3676,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta09/S-Vta9.csv,VTA9,smartphone,True,156,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta09/V-vta9.csv,VTA9,vehicle,True,156,1.0,1.0,1.0,1.0,stable,10.0,1,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta10/S-Vta10.csv,VTA10,smartphone,True,1502,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta10/V-vta10.csv,VTA10,vehicle,True,1502,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta11/S-Vta11.csv,VTA11,smartphone,True,510,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta11/V-vta11.csv,VTA11,vehicle,True,510,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta12/S-Vta12.csv,VTA12,smartphone,True,610,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta12/V-vta12.csv,VTA12,vehicle,True,610,1.0,1.0,1.0,1.0,stable,10.0,1,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta13/S-Vta13.csv,VTA13,smartphone,True,404,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta13/V-vta13.csv,VTA13,vehicle,True,404,1.0,1.0,1.0,1.0,stable,10.0,1,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta14/S-Vta14.csv,VTA14,smartphone,True,2885,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta14/V-vta14.csv,VTA14,vehicle,True,2885,1.0,1.0,1.0,1.0,stable,10.0,1,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta15/S-Vta15.csv,VTA15,smartphone,True,833,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta15/V-vta15.csv,VTA15,vehicle,True,833,1.0,1.0,1.0,1.0,stable,10.0,1,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta16/S-Vta16.csv,VTA16,smartphone,True,11335,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta16/V-vta16.csv,VTA16,vehicle,True,11335,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta17/S-Vta17.csv,VTA17,smartphone,True,4519,1.0,1.0,0.75,1.0,mostly_stable,10.0,0,,[],0.9375,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta17/V-vta17.csv,VTA17,vehicle,True,4519,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta19/S-Vta19.csv,VTA19,smartphone,True,292,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta19/V-vta19.csv,VTA19,vehicle,True,292,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta20/S-Vta20.csv,VTA20,smartphone,True,3223,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta20/V-vta20.csv,VTA20,vehicle,True,3223,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta21/S-Vta21.csv,VTA21,smartphone,True,2079,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta21/V-vta21.csv,VTA21,vehicle,True,2079,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta22/S-Vta22.csv,VTA22,smartphone,True,1564,1.0,1.0,1.0,1.0,stable,10.0,1,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta22/V-vta22.csv,VTA22,vehicle,True,1564,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta23/S-Vta23.csv,VTA23,smartphone,True,1110,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta23/V-vta23.csv,VTA23,vehicle,True,1110,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta24/S-Vta24.csv,VTA24,smartphone,True,1171,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta24/V-vta24.csv,VTA24,vehicle,True,1171,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta25/S-Vta25.csv,VTA25,smartphone,True,646,1.0,1.0,1.0,1.0,stable,10.0,1,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta25/V-vta25.csv,VTA25,vehicle,True,646,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta26/S-Vta26.csv,VTA26,smartphone,True,1935,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta26/V-vta26.csv,VTA26,vehicle,True,1935,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta27/S-Vta27.csv,VTA27,smartphone,True,2540,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta27/V-vta27.csv,VTA27,vehicle,True,2540,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta28/S-Vta28.csv,VTA28,smartphone,True,4210,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta28/V-vta28.csv,VTA28,vehicle,True,4210,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta29/S-Vta29.csv,VTA29,smartphone,True,23705,0.9997,1.0,1.0,1.0,stable,10.0,0,,[],0.9999,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta29/V-vta29.csv,VTA29,vehicle,True,23705,1.0,1.0,1.0,1.0,stable,10.0,1,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta30/S-Vta30.csv,VTA30,smartphone,True,17136,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vta (Driver E)/Vta30/V-vta30.csv,VTA30,vehicle,True,17136,1.0,1.0,1.0,1.0,stable,10.0,1,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb01/S-Vtb1.csv,VTB1,smartphone,True,32459,0.6638,1.0,0.1,1.0,severely_irregular,10.0,1,,[],0.6909,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb01/V-vtb1.csv,VTB1,vehicle,True,32459,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb02/S-Vtb2.csv,VTB2,smartphone,True,5712,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb02/V-vtb2.csv,VTB2,vehicle,True,5712,0.9996,1.0,1.0,1.0,stable,10.0,0,,[],0.9999,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb03/S-Vtb3.csv,VTB3,smartphone,True,8240,1.0,1.0,1.0,1.0,stable,10.0,2,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb03/V-vtb3.csv,VTB3,vehicle,True,8240,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb04/S-Vtb4.csv,VTB4,smartphone,True,556,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb04/V-vtb4.csv,VTB4,vehicle,True,556,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb05/S-Vtb5.csv,VTB5,smartphone,True,64388,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb05/V-vtb5.csv,VTB5,vehicle,True,64388,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb06/S-Vtb6.csv,VTB6,smartphone,True,498,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb06/V-vtb6.csv,VTB6,vehicle,True,498,1.0,1.0,1.0,1.0,stable,10.0,1,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb07/S-Vtb7.csv,VTB7,smartphone,True,461,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb07/V-vtb7.csv,VTB7,vehicle,True,461,1.0,1.0,1.0,1.0,stable,10.0,0,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
Synchronised V abd S datasets/Categorised IOVNB Dataset/Vtb (Driver E)/Vtb08/S-Vtb8.csv,VTB8,smartphone,True,668,1.0,1.0,1.0,1.0,stable,10.0,1,,[],1.0,"mean(timestamp_quality, missingness_score, sampling_quality, gnss_availability); each in [0,1]; never used to drop a session"
